2023,2022,2021,2020,2019,2018,2017,2016,2016-2017
PUBPRIME,REV_EF,REV_AL  ,UNITID,PEO4ISTR,CNTLAFFI,PUBPRIME,PUBPRIME,Match
PUBSECON,REV_F,UNITID,PEO1ISTR,PEO5ISTR,PUBPRIME,PUBSECON,PUBSECON,Match
RELAFFIL,REV_AL  ,PEO1ISTR,PEO2ISTR,PEO6ISTR,PUBSECON,RELAFFIL,RELAFFIL,Match
LEVEL1,UNITID,PEO2ISTR,PEO3ISTR,CNTLAFFI,RELAFFIL,LEVEL1,LEVEL1,Match
LEVEL1A,PEO1ISTR,PEO3ISTR,PEO4ISTR,PUBPRIME,LEVEL1,LEVEL2,LEVEL2,Match
LEVEL1B,PEO2ISTR,PEO4ISTR,PEO5ISTR,PUBSECON,LEVEL2,LEVEL3,LEVEL3,Match
LEVEL2,PEO3ISTR,PEO5ISTR,PEO6ISTR,RELAFFIL,LEVEL3,LEVEL4,LEVEL4,Match
LEVEL3,PEO4ISTR,PEO6ISTR,CNTLAFFI,LEVEL1,LEVEL4,LEVEL5,LEVEL5,Match
LEVEL4,PEO5ISTR,CNTLAFFI,PUBPRIME,LEVEL2,LEVEL5,LEVEL6,LEVEL6,Match
LEVEL5,PEO6ISTR,PUBPRIME,PUBSECON,LEVEL3,LEVEL6,LEVEL7,LEVEL7,Match
LEVEL6,PEO7ISTR,PUBSECON,RELAFFIL,LEVEL4,LEVEL7,LEVEL8,LEVEL8,Match
LEVEL7,CNTLAFFI,RELAFFIL,LEVEL1,LEVEL5,LEVEL8,LEVEL12,LEVEL12,Match
LEVEL8,PUBPRIME,LEVEL1,LEVEL1A,LEVEL6,LEVEL12,LEVEL17,LEVEL17,Match
LEVEL12,PUBSECON,LEVEL1A,LEVEL1B,LEVEL7,LEVEL17,LEVEL18,LEVEL18,Match
LEVEL17,RELAFFIL,LEVEL1B,LEVEL2,LEVEL8,LEVEL18,LEVEL19,LEVEL19,Match
LEVEL18,LEVEL1,LEVEL2,LEVEL3,LEVEL12,LEVEL19,CALSYS,CALSYS,Match
LEVEL19,LEVEL1A,LEVEL3,LEVEL4,LEVEL17,CALSYS,FT_UG,FT_UG,Match
CALSYS,LEVEL1B,LEVEL4,LEVEL5,LEVEL18,FT_UG,FT_FTUG,FT_FTUG,Match
FT_UG,LEVEL2,LEVEL5,LEVEL6,LEVEL19,FT_FTUG,FTGDNIDP,FTGDNIDP,Match
FT_FTUG,LEVEL3,LEVEL6,LEVEL7,CALSYS,FTGDNIDP,PT_UG,PT_UG,Match
FTGDNIDP,LEVEL4,LEVEL7,LEVEL8,FT_UG,PT_UG,PT_FTUG,PT_FTUG,Match
PT_UG,LEVEL5,LEVEL8,LEVEL12,FT_FTUG,PT_FTUG,PTGDNIDP,PTGDNIDP,Match
PT_FTUG,LEVEL6,LEVEL12,LEVEL17,FTGDNIDP,PTGDNIDP,DOCPP,DOCPP,Match
PTGDNIDP,LEVEL7,LEVEL17,LEVEL18,PT_UG,DOCPP,DOCPPSP,DOCPPSP,Match
DOCPP,LEVEL8,LEVEL18,LEVEL19,PT_FTUG,DOCPPSP,OPENADMP,OPENADMP,Match
DOCPPSP,LEVEL12,LEVEL19,CALSYS,PTGDNIDP,OPENADMP,VET1,VET1,Match
OPENADMP,LEVEL17,CALSYS,FT_UG,DOCPP,VET1,VET2,VET2,Match
NONCRDT1,LEVEL18,FT_UG,FT_FTUG,DOCPPSP,VET2,VET3,VET3,Match
NONCRDT2,LEVEL19,FT_FTUG,FTGDNIDP,OPENADMP,VET3,VET4,VET4,Match
NONCRDT3,CALSYS,FTGDNIDP,PT_UG,VET1,VET4,VET5,VET5,Match
NONCRDT4,FT_UG,PT_UG,PT_FTUG,VET2,VET5,VET9,VET9,Match
NONCRDT5,FT_FTUG,PT_FTUG,PTGDNIDP,VET3,VET9,CREDITS1,CREDITS1,Match
NONCRDT6,FTGDNIDP,PTGDNIDP,DOCPP,VET4,CREDITS1,CREDITS2,CREDITS2,Match
NONCRDT7,PT_UG,DOCPP,DOCPPSP,VET5,CREDITS2,CREDITS3,CREDITS3,Match
NONCRDT8,PT_FTUG,DOCPPSP,OPENADMP,VET9,CREDITS3,CREDITS4,CREDITS4,Match
NONCRDT9,PTGDNIDP,OPENADMP,VET1,CREDITS1,CREDITS4,SLO5,SLO5,Match
ENRHSST,DOCPP,VET1,VET2,CREDITS2,SLO5,SLO51,SLO51,Match
ENRHSST1,DOCPPSP,VET2,VET3,CREDITS3,SLO51,SLO52,SLO52,Match
ENRHSST2,OPENADMP,VET3,VET4,CREDITS4,SLO52,SLO53,SLO53,Match
VET1,NONCRDT1,VET4,VET5,SLO5,SLO53,SLO6,SLO6,Match
VET2,NONCRDT2,VET5,VET9,SLO51,SLO6,SLO7,SLO7,Match
VET3,NONCRDT3,VET9,CREDITS1,SLO52,SLO7,SLO8,SLO8,Match
VET4,NONCRDT4,CREDITS1,CREDITS2,SLO53,SLO8,SLO81,SLO81,Match
VET5,NONCRDT5,CREDITS2,CREDITS3,SLO6,SLO81,SLO82,SLO82,Match
VET9,NONCRDT6,CREDITS3,CREDITS4,SLO7,SLO82,SLO83,SLO83,Match
CREDITS2,NONCRDT7,CREDITS4,SLO5,SLO8,SLO83,SLO9,SLO9,Match
CREDITS3,NONCRDT8,SLO5,SLO51,SLO81,SLO9,YRSCOLL,YRSCOLL,Match
CREDITS4,NONCRDT9,SLO51,SLO52,SLO82,YRSCOLL,STUSRV1,STUSRV1,Match
SLO5,VET1,SLO52,SLO53,SLO83,STUSRV1,STUSRV2,STUSRV2,Match
SLO51,VET2,SLO53,SLO6,SLO9,STUSRV2,STUSRV3,STUSRV3,Match
SLO52,VET3,SLO6,SLO7,YRSCOLL,STUSRV3,STUSRV4,STUSRV4,Match
